case,source,case_id,G,D,Y,repeat,flags,within_Gbin_z,max_off_airfoil,max_fluid,nan_in_fluid,inf_in_fluid,frame_of_max,p99_9_off_airfoil,p99_99_off_airfoil,mean_off_airfoil,n_gt_5k_off,n_gt_10k_off,n_gt_20k_off,n_frames_off_gt_3k,n_frames,fluid_cells,read_error
Gust_052_x-1.892_y-0.678_s3.0_d1.0,run3,G+3.00_D1.00_Y-0.20,3.0,1.0,-0.2,False,,6.21,1267.6,5123.1,0,0,424,75.6,156.2,2.03,0,0,0,5,480,587200,
Gust_022_x-1.916_y-0.581_s4.0_d0.5,periodic,G+4.00_D0.50_Y-0.10,4.0,0.5,-0.1,False,,1.1,1244.2,4376.7,0,0,52,67.6,135.1,1.73,0,0,0,32,800,587200,
Gust_017_x-1.916_y-0.581_s4.0_d1.0,periodic,G+4.00_D1.00_Y-0.10,4.0,1.0,-0.1,False,,0.58,1070.8,4173.6,0,0,658,70.4,179.6,2.17,0,0,0,65,800,587200,
Gust_054_x-1.916_y-0.581_s3.0_d1.5,run3,G+3.00_D1.50_Y-0.10,3.0,1.5,-0.1,False,,4.33,1048.9,3733.4,0,0,423,85.3,198.7,2.71,0,0,0,5,480,587200,
Gust_017_x-1.941_y-0.484_s2.0_d1.5,run3,G+2.00_D1.50_Y+0.00,2.0,1.5,0.0,False,,6.21,1038.2,2218.6,0,0,263,66.8,143.2,1.97,0,0,0,0,480,587200,
Gust_033_x-1.844_y-0.872_s3.0_d0.5,run3,G+3.00_D0.50_Y-0.40,3.0,0.5,-0.4,False,,2.76,865.8,4714.7,0,0,287,55.5,113.6,1.34,0,0,0,39,480,587200,
Gust_004_x-1.989_y-0.290_s3.0_d1.5,run3,G+3.00_D1.50_Y+0.20,3.0,1.5,0.2,False,,2.49,834.7,2680.9,0,0,181,72.6,159.5,2.16,0,0,0,0,480,587200,
Gust_045_x-1.844_y-0.872_s2.0_d1.5,run3,G+2.00_D1.50_Y-0.40,2.0,1.5,-0.4,False,,3.6,800.5,3605.6,0,0,438,83.4,163.8,2.28,0,0,0,2,480,587200,
Gust_012_x-1.965_y-0.387_s4.0_d0.5,periodic,G+4.00_D0.50_Y+0.10,4.0,0.5,0.1,False,,-0.58,687.2,3720.5,0,0,518,64.5,122.7,1.6,0,0,0,24,800,587200,
Gust_005_x-1.844_y-0.872_s1.5_d1.0,run3,G+1.50_D1.00_Y-0.40,1.5,1.0,-0.4,False,,1.93,677.7,2315.0,0,0,172,61.3,135.6,1.33,0,0,0,0,480,587200,
Gust_007_x-1.965_y-0.387_s4.0_d1.0,periodic,G+4.00_D1.00_Y+0.10,4.0,1.0,0.1,False,,-0.77,621.1,2687.7,0,0,744,54.5,130.4,1.86,0,0,0,0,800,587200,
Gust_031_x-1.844_y-0.872_s-3.0_d0.5,run3,G-3.00_D0.50_Y-0.40,-3.0,0.5,-0.4,False,,0.44,596.6,1881.2,0,0,285,53.6,103.4,1.33,0,0,0,0,480,587200,
