method,d,loss,active_mask,split,SSIM_mean,eps_volume_mean,MSE_mean,floor_mean,ratio_mean,probe_delta
Fukami_AE,3,MSE,none,test_a,0.4106,0.8924,10.359,1.2014,8.622,0.2588
Fukami_AE,3,MSE,none,test_b,0.3369,0.9461,11.129,6.2571,1.779,0.1138
Fukami_AE,3,MSE,none,test_c,0.2273,0.9484,30.985,19.8090,1.564,0.4426
Fukami_AE,3,Charbonnier_eps0.05,none,test_a,0.2767,0.9436,11.369,1.2014,9.463,0.2618
Fukami_AE,3,Charbonnier_eps0.05,none,test_b,0.2531,0.9618,11.262,6.2571,1.800,0.1291
Fukami_AE,3,Charbonnier_eps0.05,none,test_c,0.1759,0.9566,31.421,19.8090,1.586,0.4123
Fukami_AE,3,Charbonnier_eps0.5,none,test_a,0.3016,0.9361,11.339,1.2014,9.438,0.2631
Fukami_AE,3,Charbonnier_eps0.5,none,test_b,0.2592,0.9617,11.313,6.2571,1.808,0.1283
Fukami_AE,3,Charbonnier_eps0.5,none,test_c,0.1782,0.9650,31.884,19.8090,1.610,0.4075
Fukami_AE,3,Multiscale_Char_Sobel,none,test_a,0.2595,0.9512,11.656,1.2014,9.702,0.2548
Fukami_AE,3,Multiscale_Char_Sobel,none,test_b,0.2381,0.9670,11.366,6.2571,1.817,0.0784
Fukami_AE,3,Multiscale_Char_Sobel,none,test_c,0.1504,0.9675,32.097,19.8090,1.620,0.4280
Fukami_AE,3,MSE,hard_tau0.01,test_a,0.1404,1.5862,26.756,1.2014,22.270,0.2747
Fukami_AE,3,MSE,hard_tau0.01,test_b,0.1083,1.6447,28.150,6.2571,4.499,0.1325
Fukami_AE,3,MSE,hard_tau0.01,test_c,0.1004,1.1853,47.316,19.8090,2.389,0.4487
Fukami_AE,3,Charbonnier_eps0.05,soft_tau0.1_a0.05,test_a,0.2937,0.9606,11.795,1.2014,9.817,0.2667
Fukami_AE,3,Charbonnier_eps0.05,soft_tau0.1_a0.05,test_b,0.2547,0.9924,11.897,6.2571,1.901,0.1290
Fukami_AE,3,Charbonnier_eps0.05,soft_tau0.1_a0.05,test_c,0.1589,0.9670,32.027,19.8090,1.617,0.4320
Fukami_AE,8,MSE,none,test_a,0.4009,0.9067,10.503,1.2014,8.742,0.2788
Fukami_AE,8,MSE,none,test_b,0.3266,0.9525,11.184,6.2571,1.787,0.1258
Fukami_AE,8,MSE,none,test_c,0.2405,0.9412,30.494,19.8090,1.539,0.4392
JEPA_encoder,32,SIGReg_lambda0.01,n/a,test_a,,,,,,0.2797
JEPA_encoder,32,SIGReg_lambda0.01,n/a,test_b,,,,,,0.1658
JEPA_encoder,32,SIGReg_lambda0.01,n/a,test_c,,,,,,0.4489
JEPA_decoder,32,MSE,none,test_a,0.5034,0.8526,9.377,1.2014,7.805,
JEPA_decoder,32,MSE,none,test_b,0.3577,0.9775,12.224,6.2571,1.954,
JEPA_decoder,32,MSE,none,test_c,0.2432,0.9841,33.307,19.8090,1.681,
JEPA_decoder,32,Charbonnier_eps0.05,none,test_a,0.3894,0.8938,10.264,1.2014,8.543,
JEPA_decoder,32,Charbonnier_eps0.05,none,test_b,0.3135,0.9466,11.093,6.2571,1.773,
JEPA_decoder,32,Charbonnier_eps0.05,none,test_c,0.2361,0.9470,30.925,19.8090,1.561,
Fukami_AE,32,MSE,none,test_a,0.4040,0.8972,10.373,1.2014,8.634,0.2754
Fukami_AE,32,MSE,none,test_b,0.3306,0.9462,11.082,6.2571,1.771,0.1483
Fukami_AE,32,MSE,none,test_c,0.2093,0.9639,32.008,19.8090,1.616,0.4332
Fukami_AE_fukami_protocol,3,MSE,none,test_a,0.3435,0.9263,11.181,1.2014,9.306,0.2693
Fukami_AE_fukami_protocol,3,MSE,none,test_b,0.2877,0.9734,11.668,6.2571,1.865,0.1751
Fukami_AE_fukami_protocol,3,MSE,none,test_c_LEAKY,0.3301,0.8747,26.517,19.8090,1.339,0.6086
