baseline,kind,d,split,horizon,mode,metric,n_enc,r2,r2_ci_lo,r2_ci_hi,mae,mae_ci_lo,mae_ci_hi
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,C_L,42,0.7462855232134679,0.5171863186184923,0.8847458062239889,0.41514128514116794,0.2939919017357901,0.5592787202451792
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,C_L,42,0.851549330881257,0.4243630971693144,0.9345856573892662,0.5008202841002021,0.3692523479453277,0.6448520839961334
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,C_L,42,0.9180561228372027,0.7243275279268206,0.9703758186290383,0.5683509096764463,0.409387383227745,0.7622677111040802
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,C_L,42,0.8258116655754919,0.5833722789162883,0.9434359470690589,0.6243058988418118,0.3879840219914849,0.9191914726444375
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,C_L,42,0.7996106727010819,0.6836298478146011,0.9150072242004259,0.4222482457360191,0.27094490688117345,0.6182438226638143
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,C_L,42,-0.15944651930530784,-0.46378472101064644,0.1718320940165874,0.33288644864993877,0.21317101790102957,0.48392501349331035
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,C_D,42,0.45942294248128,-0.07315411770016828,0.7276094232466599,0.2290267218145091,0.1669029733233562,0.29663221291572406
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,C_D,42,0.18915998725491223,-0.7219458622705532,0.5606303148384285,0.25581496341219395,0.18430644223328607,0.33585796952408736
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,C_D,42,0.7056264156271101,0.5691617025517896,0.7974482892123076,0.21132430077820447,0.14281511250411352,0.28953208225171956
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,C_D,42,0.6581267929470318,0.49715405998755074,0.752629808909795,0.30071678626708254,0.21533211755733392,0.3927653208903691
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,C_D,42,0.7826388429079244,0.6630720559204991,0.894352597120191,0.18253853504493586,0.13380116289936658,0.2530067428140109
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,C_D,42,0.3482837078336958,-0.007284998620694789,0.4883148462674648,0.11293740677627835,0.07628521190143131,0.15897216004266623
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,I_y,42,-0.5464582071015434,-2.1073846973252053,0.3056099748773814,2.701552199539921,1.9597582984991027,3.5306166505248493
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,I_y,42,-1.0129451638334528,-2.0127116558206235,-0.12217968933620119,2.9050897199148107,2.1452552491204164,3.9111786024592816
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,I_y,42,-0.4047918701013766,-1.2258512152887613,0.31300119494950396,2.439412987305311,1.6877555149792802,3.3695021581154663
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,I_y,42,0.01434371941349144,-0.6435676001190954,0.7067496410791794,1.9007433225335968,1.0435916114968746,3.1328046577036273
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,I_y,42,0.24443454569720746,-0.7903737921715297,0.6122506260441644,2.110476725463411,1.7492675013720829,2.5076864630782816
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,I_y,42,0.020774943740070162,-0.6159727771799354,0.2472910949592329,3.7206144521721205,2.36690538075903,5.299066506840225
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,wake_enstrophy,42,0.8505035099285226,0.281305943810382,0.9189324485732977,25.992484138534365,20.023554765870713,32.61902478818027
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,wake_enstrophy,42,0.8345136771298638,-0.2053460830085222,0.9162453460991891,29.418174471736673,23.238337296543342,35.82132004503704
jepa_d64_test1_noBN,jepa,64,test_b,8,z_dns,wake_enstrophy,42,0.8197360617488821,-1.1181790531700708,0.9187906940563907,31.63486087216622,25.078380927507776,39.09859671435934
jepa_d64_test1_noBN,jepa,64,test_b,16,z_dns,wake_enstrophy,42,0.7541422558404958,-0.5614510568606663,0.9064961066615875,29.82839676232681,20.745962937719927,40.22993395865985
jepa_d64_test1_noBN,jepa,64,test_b,32,z_dns,wake_enstrophy,42,0.7935650599616604,0.6164836759047069,0.9049568770035383,29.332922491828526,20.503471414494623,39.10051692643014
jepa_d64_test1_noBN,jepa,64,test_b,64,z_dns,wake_enstrophy,42,0.5143828761370006,-0.490068230586861,0.8698901234007544,35.31005180000049,23.037758351751126,51.83886748514127
jepa_d64_test1_noBN,jepa,64,test_b,1,z_dns,circulation_pos,42,0.8541000802392803,0.6400490719915102,0.9183195285517198,0.5005508492148474,0.38608584921993355,0.6304971578046549
jepa_d64_test1_noBN,jepa,64,test_b,4,z_dns,circulation_pos,42,0.7860058672958101,0.4917051342804677,0.9006549918267692,0.659802835297195,0.51248643820036,0.8295351830579636
