stride,n_points,noise_frac,jepa_median,fukami_median,jepa_mean,fukami_mean,mannwhitney_p,case_wilcoxon_p,cases_jepa_fewer
1,120,0.02,1.0,6.0,1.7857142857142858,6.738095238095238,1.1739409921785438e-11,0.0009765625,10
1,120,0.05,1.0,3.5,1.5952380952380953,4.095238095238095,4.404459669075318e-08,0.0009765625,10
1,120,0.1,1.0,2.0,1.3095238095238095,2.5952380952380953,1.1289536474331506e-05,0.01171875,7
1,120,0.15,1.0,2.0,1.1904761904761905,1.8571428571428572,0.0007989751582732562,0.0234375,7
1,120,0.2,1.0,1.0,1.119047619047619,1.5476190476190477,0.01137589071223347,0.080078125,7
2,60,0.02,1.0,4.0,1.6666666666666667,3.9285714285714284,3.563306493222287e-08,0.0009765625,10
2,60,0.05,1.0,2.0,1.4047619047619047,2.4523809523809526,7.97864052963402e-05,0.013671875,8
2,60,0.1,1.0,1.0,1.2142857142857142,1.6666666666666667,0.011108616247654846,0.095703125,7
2,60,0.15,1.0,1.0,1.0952380952380953,1.380952380952381,0.05316744390882911,0.0703125,6
2,60,0.2,1.0,1.0,1.0,1.1428571428571428,0.18135876338581375,0.21875,5
3,40,0.02,1.0,2.0,1.6666666666666667,2.4761904761904763,0.003917998531302948,0.025390625,8
3,40,0.05,1.0,2.0,1.4047619047619047,1.9285714285714286,0.007907504865964381,0.0810546875,8
3,40,0.1,1.0,1.0,1.119047619047619,1.4047619047619047,0.10501444055260128,0.177734375,6
3,40,0.15,1.0,1.0,0.9523809523809523,1.119047619047619,0.15075865026174312,0.2421875,6
3,40,0.2,1.0,1.0,0.8333333333333334,0.9047619047619048,0.28256179873619425,0.2578125,6
4,30,0.02,1.0,2.0,1.5476190476190477,2.0714285714285716,0.010393888578822789,0.0234375,6
4,30,0.05,1.0,1.0,1.2619047619047619,1.4285714285714286,0.15475442354821572,0.22265625,6
4,30,0.1,1.0,1.0,1.0714285714285714,0.8809523809523809,0.9021370806832025,0.43359375,5
4,30,0.15,1.0,1.0,0.9523809523809523,0.6428571428571429,0.9889563520240742,0.74609375,4
4,30,0.2,1.0,0.5,0.8571428571428571,0.5476190476190477,0.9934509274774328,0.859375,3
